chart,family,bucket,x_name,shape,E,tokens,N,backend,math,us,bytes,gbps,peak_gbps
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,65536,18432,te,fast,580.4678400000004,3774873600,6503.15717749324,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,65536,18432,cutedsl,fast,357.84429999999986,2415919104,6751.313641156226,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,65536,18432,triton,fast,525.6863000000002,2415919104,4595.742944033351,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,65536,18432,cutedsl,fast,714.51132,3774873600,5283.154366259726,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,65536,18432,triton,fast,1681.5067800000006,3774873600,2244.935105167996,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,131072,18432,te,standard,637.3172200000002,4831838208,7581.527779839367,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,131072,18432,te,standard,1156.8352600000003,7549747200,6526.2077160407425,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,131072,18432,cutedsl,standard,684.0555600000001,4831838208,7063.517191498304,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,131072,18432,triton,standard,1035.6333,4831838208,4665.587914177731,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,131072,18432,cutedsl,standard,2585.8832,7549747200,2919.601009047895,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,131072,18432,triton,standard,4134.068099999999,7549747200,1826.2271006130745,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,131072,18432,te,fast,638.22862,4831838208,7570.701244955138,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,131072,18432,te,fast,1173.9500999999993,7549747200,6431.063126107322,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,131072,18432,cutedsl,fast,685.9208799999999,4831838208,7044.308387288051,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,131072,18432,triton,fast,1035.7114199999996,4831838208,4665.236005604729,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,131072,18432,cutedsl,fast,1457.9776600000002,7549747200,5178.23242915807,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,131072,18432,triton,fast,3350.7642999999994,7549747200,2253.141827970413,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,512,7168,te,standard,6.099860000000051,29360128,4813.246205650581,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,512,7168,te,standard,15.39906000000001,45875200,2979.09093152439,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,512,7168,cutedsl,standard,10.372559999999975,29360128,2830.5575479920167,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,512,7168,triton,standard,20.778959999999984,29360128,1412.973892822356,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,512,7168,cutedsl,standard,20.451240000000045,45875200,2243.1500486034047,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,512,7168,triton,standard,22.9875600000001,45875200,1995.6533011768015,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,512,7168,te,fast,6.19009999999998,29360128,4743.078140902424,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,512,7168,te,fast,12.533219999999965,45875200,3660.288417501658,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,512,7168,cutedsl,fast,10.386639999999787,29360128,2826.720479385114,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,512,7168,triton,fast,20.802620000000026,29360128,1411.3668374464353,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,512,7168,cutedsl,fast,14.863439999999951,45875200,3086.4456680284075,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,512,7168,triton,fast,17.980800000000105,45875200,2551.3436554546925,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,1024,7168,te,standard,9.24674000000002,58720256,6350.37386149063,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,1024,7168,te,standard,25.832199999999997,91750400,3551.7842073071597,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,1024,7168,cutedsl,standard,14.242620000000118,58720256,4122.8549241641995,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,1024,7168,triton,standard,26.021819999999963,58720256,2256.5775952642853,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,1024,7168,cutedsl,standard,36.748840000000015,91750400,2496.688330842551,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,1024,7168,triton,standard,47.03057999999996,91750400,1950.8668615186136,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,1024,7168,te,fast,9.29474000000014,58720256,6317.57918995035,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,1024,7168,te,fast,20.11336000000004,91750400,4561.664485695071,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,1024,7168,cutedsl,fast,14.242040000000152,58720256,4123.022825381713,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,1024,7168,triton,fast,25.945079999999685,58720256,2263.2520693711763,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,1024,7168,cutedsl,fast,26.02380000000003,91750400,3525.6342271305457,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,1024,7168,triton,fast,35.94818000000009,91750400,2552.29611067931,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,2048,7168,te,standard,26.218399999999995,117440512,4479.316510542215,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,2048,7168,te,standard,38.67346000000007,183500800,4744.876719072969,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,2048,7168,cutedsl,standard,23.185959999999785,117440512,5065.156327363676,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,2048,7168,triton,standard,40.0136,117440512,2935.0148949357217,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,2048,7168,cutedsl,standard,57.26087999999995,183500800,3204.645125956851,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,2048,7168,triton,standard,93.01070000000003,183500800,1972.899892162944,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,2048,7168,te,fast,26.24771999999998,117440512,4474.312892700778,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,2048,7168,te,fast,29.645600000000005,183500800,6189.8156893434425,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,2048,7168,cutedsl,fast,23.09245999999998,117440512,5085.664844715552,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,2048,7168,triton,fast,40.06496000000011,117440512,2931.2524460276427,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,2048,7168,cutedsl,fast,42.416640000000136,183500800,4326.151246303323,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,2048,7168,triton,fast,71.87398000000003,183500800,2553.0908403847943,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,4096,7168,te,standard,44.77117999999994,234881024,5246.2549345360185,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,4096,7168,te,standard,67.13727999999996,367001600,5466.435339650344,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,4096,7168,cutedsl,standard,40.13513999999995,234881024,5852.253760669585,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,4096,7168,triton,standard,65.30109999999999,234881024,3596.892303498716,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,4096,7168,cutedsl,standard,107.38762000000001,367001600,3417.541053614932,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,4096,7168,triton,standard,180.98953999999998,367001600,2027.7503329750439,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,4096,7168,te,fast,44.856440000000084,234881024,5236.283218195638,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,4096,7168,te,fast,56.73228000000001,367001600,6469.008472777754,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,4096,7168,cutedsl,fast,40.34820000000001,234881024,5821.350741792692,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,4096,7168,triton,fast,65.34795999999996,234881024,3594.313028287343,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,4096,7168,cutedsl,fast,78.28953999999993,367001600,4687.747558613837,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,4096,7168,triton,fast,139.30456000000007,367001600,2634.526823816821,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,8192,7168,te,standard,77.40318000000002,469762048,6069.027758291066,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,8192,7168,te,standard,125.27092000000002,734003200,5859.32633048436,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,8192,7168,cutedsl,standard,69.77946000000006,469762048,6732.096350416005,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,8192,7168,triton,standard,115.1892800000001,469762048,4078.175052400706,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,8192,7168,cutedsl,standard,207.8267599999998,734003200,3531.8031229472112,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,8192,7168,triton,standard,356.58068,734003200,2058.4491565835815,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,8192,7168,te,fast,77.74984000000002,469762048,6041.968034918141,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,8192,7168,te,fast,110.6081,734003200,6636.070956828659,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,8192,7168,cutedsl,fast,69.7782000000002,469762048,6732.217913331078,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,8192,7168,triton,fast,115.18208000000004,469762048,4078.4299779965754,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,8192,7168,cutedsl,fast,144.75220000000004,734003200,5070.7567829711725,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,8192,7168,triton,fast,273.73986000000014,734003200,2681.389549917939,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,16384,7168,te,standard,137.8841000000001,939524096,6813.868285030684,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,16384,7168,te,standard,241.3724799999997,1468006400,6081.912900758204,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,16384,7168,cutedsl,standard,129.36957999999984,939524096,7262.326243928449,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,16384,7168,triton,standard,215.69487999999993,939524096,4355.801565618991,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,16384,7168,cutedsl,standard,402.12646000000007,1468006400,3650.6088159431233,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,16384,7168,triton,standard,707.3988199999999,1468006400,2075.217484812881,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,16384,7168,te,fast,138.78125999999995,939524096,6769.81961397382,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,16384,7168,te,fast,218.99268000000006,1468006400,6703.449631284477,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,16384,7168,cutedsl,fast,129.49097999999987,939524096,7255.517689340223,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,16384,7168,triton,fast,215.53295999999983,939524096,4359.073879002083,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,16384,7168,cutedsl,fast,273.32029999999986,1468006400,5371.011227486581,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,16384,7168,triton,fast,542.6419599999998,1468006400,2705.294666118338,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,32768,7168,te,standard,257.9628799999999,1879048192,7284.180545666107,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,32768,7168,te,standard,472.5988599999999,2936012800,6212.483881150286,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,32768,7168,cutedsl,standard,250.05787999999978,1879048192,7514.453021836391,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,32768,7168,triton,standard,415.27524,1879048192,4524.825973250897,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,32768,7168,cutedsl,standard,785.0812200000001,2936012800,3739.756760453395,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,32768,7168,triton,standard,1409.5436,2936012800,2082.952808270705,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,32768,7168,te,fast,258.8506599999997,1879048192,7259.197994704754,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,32768,7168,te,fast,437.77145999999976,2936012800,6706.725011265014,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,32768,7168,cutedsl,fast,249.77581999999995,1879048192,7522.938737624804,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,32768,7168,triton,fast,415.3321399999999,1879048192,4524.206077574446,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,32768,7168,cutedsl,fast,529.1647800000001,2936012800,5548.39042764713,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,32768,7168,triton,fast,1080.78306,2936012800,2716.560712933454,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,65536,7168,te,standard,498.7334799999998,3758096384,7535.279933482711,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,65536,7168,te,standard,928.5925199999998,5872025600,6323.576244185126,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,65536,7168,cutedsl,standard,490.20083999999986,3758096384,7666.442154607488,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,65536,7168,triton,standard,813.5139399999998,3758096384,4619.584495380621,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,65536,7168,cutedsl,standard,1556.31864,5872025600,3773.022727530912,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,65536,7168,triton,standard,2812.8381999999997,5872025600,2087.580295233476,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,65536,7168,te,fast,499.68641999999954,3758096384,7520.909581653236,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,65536,7168,te,fast,894.2244599999996,5872025600,6566.612592994831,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,65536,7168,cutedsl,fast,489.5541599999999,3758096384,7676.569195122355,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,65536,7168,triton,fast,813.6905800000001,3758096384,4618.581652991484,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,65536,7168,cutedsl,fast,1041.7023199999996,5872025600,5636.951638928866,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,65536,7168,triton,fast,2156.3597800000002,5872025600,2723.119608546955,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,131072,7168,te,standard,978.4664600000011,7516192768,7681.604914694768,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,131072,7168,te,standard,1843.3870800000002,11744051200,6370.908924890587,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,131072,7168,cutedsl,standard,968.4592999999996,7516192768,7760.979493924012,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,131072,7168,triton,standard,1611.0640199999993,7516192768,4665.359461010124,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,131072,7168,cutedsl,standard,3095.8292400000005,11744051200,3793.50742226338,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,131072,7168,triton,standard,5620.0885,11744051200,2089.655919119423,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,131072,7168,te,fast,978.9131800000016,7516192768,7678.09946945447,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,131072,7168,te,fast,1781.470160000001,11744051200,6592.336747307624,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,131072,7168,cutedsl,fast,968.4090599999998,7516192768,7761.38212502886,7928.1
grouped_amax,grouped,amax,tokens/expert,gate/up (w1/w3) input,4,131072,7168,triton,fast,1610.8925399999996,7516192768,4665.856089941295,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,131072,7168,cutedsl,fast,2068.5240400000002,11744051200,5677.502882683441,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,gate/up (w1/w3) input,4,131072,7168,triton,fast,4308.0037,11744051200,2726.100537007431,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,512,2048,te,standard,4.568320000000034,8388608,1836.2566545250636,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,512,2048,te,standard,13.304400000000005,13107200,985.1778359039112,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,512,2048,cutedsl,standard,10.064019999999822,8388608,833.5245756665973,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,512,2048,triton,standard,10.10942000000019,8388608,829.78133265804,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,512,2048,cutedsl,standard,19.642920000000004,13107200,667.2735010884328,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,512,2048,triton,standard,8.655399999999984,13107200,1514.3378700002336,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,512,2048,te,fast,4.568359999999867,8388608,1836.2405764870205,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,512,2048,te,fast,10.501800000000065,13107200,1248.0908034813003,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,512,2048,cutedsl,fast,10.06911999999996,8388608,833.1023962372117,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,512,2048,triton,fast,10.123580000000164,8388608,828.6207053235975,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,512,2048,cutedsl,fast,14.050020000000123,13107200,932.895469187936,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,512,2048,triton,fast,7.164179999999954,13107200,1829.5464379733737,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,1024,2048,te,standard,5.2204800000000295,16777216,3213.7305381880415,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,1024,2048,te,standard,13.514919999999993,26214400,1939.6637198000442,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,1024,2048,cutedsl,standard,9.598080000000008,16777216,1747.9762619190492,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,1024,2048,triton,standard,16.710419999999978,16777216,1003.9972663763102,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,1024,2048,cutedsl,standard,18.994580000000102,26214400,1380.0989545438676,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,1024,2048,triton,standard,15.477820000000065,26214400,1693.6752074904534,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,1024,2048,te,fast,5.2134200000000135,16777216,3218.0825638448387,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,1024,2048,te,fast,10.63041999999999,26214400,2465.979707292847,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,1024,2048,cutedsl,fast,9.575740000000081,16777216,1752.054253770451,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,1024,2048,triton,fast,16.705200000000055,16777216,1004.3109929842173,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,1024,2048,cutedsl,fast,13.76131999999996,26214400,1904.9335383524308,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,1024,2048,triton,fast,12.293200000000121,26214400,2132.4309374288014,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,2048,2048,te,standard,6.572820000000021,33554432,5105.028283141771,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,2048,2048,te,standard,14.305919999999924,52428800,3664.8324609672272,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,2048,2048,cutedsl,standard,9.85089999999981,33554432,3406.2300906516816,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,2048,2048,triton,standard,22.325119999999878,33554432,1502.9899951265743,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,2048,2048,cutedsl,standard,19.731839999999966,52428800,2657.0659401252033,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,2048,2048,triton,standard,28.43082000000004,52428800,1844.0832870807076,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,2048,2048,te,fast,6.577400000000047,33554432,5101.473530574354,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,2048,2048,te,fast,11.352400000000046,52428800,4618.300976005055,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,2048,2048,cutedsl,fast,9.84707999999994,33554432,3407.5514771891976,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,2048,2048,triton,fast,22.28227999999993,33554432,1505.879649658837,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,2048,2048,cutedsl,fast,14.287440000000005,52428800,3669.572715615952,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,2048,2048,triton,fast,21.02726000000009,52428800,2493.372888336368,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,4096,2048,te,standard,12.423719999999923,67108864,5401.672284951723,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,4096,2048,te,standard,24.742359999999895,104857600,4237.978915511715,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,4096,2048,cutedsl,standard,14.276500000000167,67108864,4700.65240079846,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,4096,2048,triton,standard,34.13835999999986,67108864,1965.79050663243,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,4096,2048,cutedsl,standard,36.505059999999915,104857600,2872.4127559302806,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,4096,2048,triton,standard,54.05944000000004,104857600,1939.6723310489328,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,4096,2048,te,fast,12.295000000000035,67108864,5458.223993493274,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,4096,2048,te,fast,19.075179999999946,104857600,5497.070014542473,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,4096,2048,cutedsl,fast,14.272760000000185,67108864,4701.884148545841,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,4096,2048,triton,fast,34.125400000000155,67108864,1966.537066232182,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,4096,2048,cutedsl,fast,25.85412000000006,104857600,4055.740439048003,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,4096,2048,triton,fast,42.20120000000006,104857600,2484.7065960209625,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,8192,2048,te,standard,28.443739999999924,134217728,4718.708861774167,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,8192,2048,te,standard,45.78583999999994,209715200,4580.350606213629,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,8192,2048,cutedsl,standard,26.666919999999827,134217728,5033.116985388672,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,8192,2048,triton,standard,53.849680000000006,134217728,2492.451728589659,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,8192,2048,cutedsl,standard,71.61247999999996,209715200,2928.4728025059335,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,8192,2048,triton,standard,105.01199999999993,209715200,1997.0593836894843,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,8192,2048,te,fast,28.60870000000006,134217728,4691.500417705094,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,8192,2048,te,fast,34.11142000000004,209715200,6147.946933900722,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,8192,2048,cutedsl,fast,26.6029000000001,134217728,5045.229204334847,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,8192,2048,triton,fast,53.91764000000025,134217728,2489.3101404289837,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,8192,2048,cutedsl,fast,51.74934000000001,209715200,4052.519317154575,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,8192,2048,triton,fast,81.28484000000007,209715200,2580.003848196045,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,16384,2048,te,standard,49.618060000000014,268435456,5410.035297631546,7928.1
grouped_quantize_1d,grouped,quantize,tokens/expert,down (w2) input,4,16384,2048,te,standard,74.93395999999996,419430400,5597.333972473899,7928.1
grouped_amax,grouped,amax,tokens/expert,down (w2) input,4,16384,2048,cutedsl,standard,43.46317999999988,268435456,6176.157750077209,7928.1
