chart,family,bucket,x_name,shape,E,tokens,N,backend,math,us,bytes,gbps,peak_gbps
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,4096,7168,cutedsl,standard,35.52725999999997,91750400,2582.535213804838,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,4096,7168,triton,standard,61.10925999999999,91750400,1501.4156610634789,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,4096,7168,te,fast,9.227600000000006,58720256,6363.545884086865,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,4096,7168,te,fast,17.449039999999922,91750400,5258.191854680854,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,4096,7168,cutedsl,fast,13.205119999999965,58720256,4446.77943100859,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,4096,7168,triton,fast,25.884180000000086,58720256,2268.5770227219796,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,4096,7168,cutedsl,fast,18.98237999999999,91750400,4833.450810699188,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,4096,7168,triton,fast,50.82433999999996,91750400,1805.2452820833498,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,8192,7168,te,standard,26.372020000000056,117440512,4453.223985117551,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,8192,7168,te,standard,33.07024000000004,183500800,5548.819724320106,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,8192,7168,cutedsl,standard,24.380320000000175,117440512,4817.020941480635,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,8192,7168,triton,standard,39.82555999999986,117440512,2948.8728344309634,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,8192,7168,cutedsl,standard,70.41673999999998,183500800,2605.9258068464974,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,8192,7168,triton,standard,113.22634000000005,183500800,1620.6546992510746,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,8192,7168,te,fast,26.403399999999962,117440512,4447.931402773892,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,8192,7168,te,fast,29.102900000000037,183500800,6305.241058451212,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,8192,7168,cutedsl,fast,24.297819999999838,117440512,4833.376492212091,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,8192,7168,triton,fast,39.82797999999999,117440512,2948.6936570722396,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,8192,7168,cutedsl,fast,36.007759999999955,183500800,5096.145941874758,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,8192,7168,triton,fast,93.2221000000001,183500800,1968.4259419172042,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,16384,7168,te,standard,45.67384000000001,234881024,5142.572290834314,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,16384,7168,te,standard,58.94176000000005,367001600,6226.512408180544,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,16384,7168,cutedsl,standard,41.48492000000023,234881024,5661.84107381667,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,16384,7168,triton,standard,65.03694000000004,234881024,3611.501771147287,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,16384,7168,cutedsl,standard,134.22011999999998,367001600,2734.3262694147497,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,16384,7168,triton,standard,215.6709799999999,367001600,1701.673539944967,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,16384,7168,te,fast,45.54368000000002,234881024,5157.269329136334,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,16384,7168,te,fast,57.06752000000004,367001600,6431.0066391530545,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,16384,7168,cutedsl,fast,41.536019999999986,234881024,5654.875551388893,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,16384,7168,triton,fast,64.95877999999999,234881024,3615.8472188055266,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,16384,7168,cutedsl,fast,64.61206000000003,367001600,5680.078920251109,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,16384,7168,triton,fast,175.83730000000003,367001600,2087.1658061173594,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,32768,7168,te,standard,78.37834000000002,469762048,5993.518719585026,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,32768,7168,te,standard,111.02475999999992,734003200,6611.166734339264,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,32768,7168,cutedsl,standard,74.63881999999994,469762048,6293.803251444763,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,32768,7168,triton,standard,114.61784000000013,469762048,4098.507248086332,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,32768,7168,cutedsl,standard,256.93766000000005,734003200,2856.7365329006257,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,32768,7168,triton,standard,415.62805999999995,734003200,1766.0097347614117,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,32768,7168,te,fast,78.48533999999985,469762048,5985.347684038839,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,32768,7168,te,fast,110.38176000000007,734003200,6649.678352655362,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,32768,7168,cutedsl,fast,74.98051999999993,469762048,6265.121234155224,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,32768,7168,triton,fast,114.67541999999995,469762048,4096.449335001347,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,32768,7168,cutedsl,fast,120.26758000000004,734003200,6103.084472141202,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,32768,7168,triton,fast,337.9119400000002,734003200,2172.17302235606,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,65536,7168,te,standard,138.96678000000003,939524096,6760.781936517488,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,65536,7168,te,standard,227.06430000000012,1468006400,6465.157226389173,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,65536,7168,cutedsl,standard,140.43254000000007,939524096,6690.216498256027,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,65536,7168,triton,standard,214.61599999999987,939524096,4377.698289037166,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,65536,7168,cutedsl,standard,507.38502000000005,1468006400,2893.27895411654,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,65536,7168,triton,standard,815.3986799999999,1468006400,1800.3541531364756,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,65536,7168,te,fast,139.10571999999993,939524096,6754.029208863592,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,65536,7168,te,fast,221.69876,1468006400,6621.626571118395,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,65536,7168,cutedsl,fast,141.51267999999988,939524096,6639.1513184542955,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,65536,7168,triton,fast,214.56151999999994,939524096,4378.809844374705,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,65536,7168,cutedsl,fast,238.63875999999996,1468006400,6151.5840930450695,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,65536,7168,triton,fast,661.6782999999999,1468006400,2218.610463725348,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,131072,7168,te,standard,259.7799200000002,1879048192,7233.231082679518,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,131072,7168,te,standard,444.65783999999985,2936012800,6602.858503518123,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,131072,7168,cutedsl,standard,269.9635799999999,1879048192,6960.376625617428,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,131072,7168,triton,standard,412.92747999999995,1879048192,4550.552537699841,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,131072,7168,cutedsl,standard,1012.0942600000002,2936012800,2900.9282198675837,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,131072,7168,triton,standard,1618.0351599999997,2936012800,1814.554388298954,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,131072,7168,te,fast,259.54119999999966,1879048192,7239.884041531759,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,131072,7168,te,fast,447.13274000000024,2936012800,6566.311382163602,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,131072,7168,cutedsl,fast,270.48298,1879048192,6947.010832252736,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,131072,7168,triton,fast,412.85232,1879048192,4551.380968381139,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,131072,7168,cutedsl,fast,501.5801999999999,2936012800,5853.526116062796,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,131072,7168,triton,fast,1312.4794,2936012800,2236.997243537689,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,512,18432,te,standard,5.219199999999981,18874368,3616.333537706941,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,512,18432,te,standard,8.923579999999953,29491200,3304.861950024559,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,512,18432,cutedsl,standard,8.550999999999965,18874368,2207.270260788221,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,512,18432,triton,standard,17.189200000000067,18874368,1098.0364414865105,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,512,18432,cutedsl,standard,14.251040000000097,29491200,2069.4068643411147,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,512,18432,triton,standard,25.37613999999996,29491200,1162.1625668836964,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,512,18432,te,fast,5.2083999999999975,18874368,3623.8322709469335,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,512,18432,te,fast,7.59298,29491200,3884.0086500952198,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,512,18432,cutedsl,fast,8.567719999999902,18874368,2202.9627485492306,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,512,18432,triton,fast,17.161060000000003,18874368,1099.8369564584004,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,512,18432,cutedsl,fast,9.17828000000002,29491200,3213.151047908751,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,512,18432,triton,fast,21.83626000000005,29491200,1350.5609477080752,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,1024,18432,te,standard,6.995219999999949,37748736,5396.3615154348645,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,1024,18432,te,standard,13.424700000000053,58982400,4393.573040738323,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,1024,18432,cutedsl,standard,10.928679999999911,37748736,3454.098390656539,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,1024,18432,triton,standard,21.314620000000197,37748736,1771.0255214495803,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,1024,18432,cutedsl,standard,24.70929999999993,58982400,2387.052648193197,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,1024,18432,triton,standard,42.94938000000006,58982400,1373.3003829158865,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,1024,18432,te,fast,6.985619999999975,37748736,5403.777474297219,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,1024,18432,te,fast,10.76733999999998,58982400,5477.898905393543,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,1024,18432,cutedsl,fast,10.925460000000182,37748736,3455.116397844976,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,1024,18432,triton,fast,21.31274000000003,37748736,1771.1817438771338,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,1024,18432,cutedsl,fast,14.028859999999977,58982400,4204.3615803422435,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,1024,18432,triton,fast,36.58378000000006,58982400,1612.2554859011261,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,2048,18432,te,standard,15.921280000000026,75497472,4741.922257506926,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,2048,18432,te,standard,23.489919999999994,117964800,5021.932812031715,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,2048,18432,cutedsl,standard,15.465639999999924,75497472,4881.626107939947,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,2048,18432,triton,standard,29.50408000000017,75497472,2558.8824325313503,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,2048,18432,cutedsl,standard,48.47049999999997,117964800,2433.744236184897,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,2048,18432,triton,standard,78.66304000000002,117964800,1499.6216774739441,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,2048,18432,te,fast,15.49833999999999,75497472,4871.326348499261,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,2048,18432,te,fast,18.21647999999998,117964800,6475.718689889602,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,2048,18432,cutedsl,fast,15.443240000000078,75497472,4888.706773967096,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,2048,18432,triton,fast,29.528240000000178,75497472,2556.7887554422323,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,2048,18432,cutedsl,fast,26.20678000000008,117964800,4501.3084400296275,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,2048,18432,triton,fast,65.29490000000004,117964800,1806.6464609027646,7928.1
